date,currency,rate
2026-01-20,AED,1.1827
2026-01-20,AUD,2.9243
2026-01-20,BRL,0.8089
2026-01-20,CAD,3.1419
2026-01-20,CHF,5.4978
2026-01-20,CNY,0.6242
2026-01-20,CZK,0.2094
2026-01-20,DKK,0.6817
2026-01-20,EGP,0.0915
2026-01-20,EUR,5.0929
2026-01-20,GBP,5.8542
2026-01-20,HKD,0.5571
2026-01-20,HUF,1.3196
2026-01-20,IDR,0.0256
2026-01-20,ILS,1.3683
2026-01-20,INR,0.0478
2026-01-20,ISK,3.4883
2026-01-20,JPY,2.752
2026-01-20,KRW,0.2943
2026-01-20,MDL,0.2555
2026-01-20,MXN,0.2464
2026-01-20,MYR,1.0714
2026-01-20,NOK,0.4337
2026-01-20,NZD,2.5354
2026-01-20,PHP,0.0731
2026-01-20,PLN,1.2045
2026-01-20,RSD,0.0434
2026-01-20,RUB,0.0557
2026-01-20,SEK,0.4755
2026-01-20,SGD,3.3874
2026-01-20,THB,0.1399
2026-01-20,TRY,0.1003
2026-01-20,UAH,0.1004
2026-01-20,USD,4.3442
2026-01-20,XAU,660.2411
2026-01-20,XDR,5.9451
2026-01-20,ZAR,0.2643
